time	V(n003)
0,00E+00	0,00E+00
1,00E-09	4,55E-09
2,00E-09	9,09E-09
2,81E-03	1,25E-02
5,62E-03	2,44E-02
8,43E-03	3,60E-02
1,12E-02	4,70E-02
1,41E-02	5,76E-02
1,69E-02	6,78E-02
1,97E-02	7,75E-02
2,55E-02	9,64E-02
3,14E-02	1,14E-01
3,73E-02	1,29E-01
4,42E-02	1,46E-01
5,12E-02	1,60E-01
5,82E-02	1,74E-01
6,52E-02	1,85E-01
7,21E-02	1,95E-01
7,91E-02	2,04E-01
8,61E-02	2,11E-01
9,58E-02	2,19E-01
1,06E-01	2,25E-01
1,15E-01	2,30E-01
1,25E-01	2,33E-01
1,35E-01	2,35E-01
1,45E-01	2,36E-01
1,54E-01	2,35E-01
1,68E-01	2,32E-01
1,81E-01	2,29E-01
1,95E-01	2,24E-01
2,08E-01	2,19E-01
2,21E-01	2,14E-01
2,35E-01	2,07E-01
2,48E-01	2,00E-01
2,68E-01	1,88E-01
2,88E-01	1,77E-01
3,08E-01	1,67E-01
3,29E-01	1,56E-01
3,49E-01	1,45E-01
3,69E-01	1,35E-01
3,89E-01	1,25E-01
4,09E-01	1,16E-01
4,30E-01	1,07E-01
4,50E-01	9,86E-02
4,70E-01	9,07E-02
4,91E-01	8,35E-02
5,11E-01	7,67E-02
5,31E-01	7,05E-02
5,52E-01	6,46E-02
5,73E-01	5,92E-02
5,93E-01	5,42E-02
6,14E-01	4,95E-02
6,35E-01	4,52E-02
6,55E-01	4,13E-02
6,76E-01	3,78E-02
6,97E-01	3,46E-02
7,18E-01	3,15E-02
7,39E-01	2,87E-02
7,60E-01	2,61E-02
7,81E-01	2,38E-02
8,01E-01	2,17E-02
8,22E-01	1,98E-02
8,44E-01	1,80E-02
8,66E-01	1,63E-02
8,88E-01	1,48E-02
9,09E-01	1,34E-02
9,31E-01	1,22E-02
9,53E-01	1,10E-02
9,75E-01	1,00E-02
9,98E-01	9,04E-03
1,02E+00	8,14E-03
1,05E+00	7,32E-03
1,07E+00	6,57E-03
1,09E+00	5,90E-03
1,12E+00	5,31E-03
1,14E+00	4,80E-03
1,17E+00	4,28E-03
1,19E+00	3,80E-03
1,22E+00	3,37E-03
1,24E+00	2,99E-03
1,27E+00	2,65E-03
1,30E+00	2,35E-03
1,32E+00	2,10E-03
1,35E+00	1,82E-03
1,39E+00	1,58E-03
1,42E+00	1,36E-03
1,45E+00	1,17E-03
1,48E+00	1,00E-03
1,52E+00	8,66E-04
1,55E+00	7,56E-04
1,59E+00	6,25E-04
1,64E+00	5,10E-04
1,69E+00	4,12E-04
1,73E+00	3,29E-04
1,78E+00	2,63E-04
1,82E+00	2,13E-04
1,87E+00	1,80E-04
1,96E+00	1,20E-04
2,00E+00	9,98E-05
2,00E+00	9,90E-05
